i	x_i	y_i	h_i
0	1	4.17136573924	
1	1.25	5.56493322059	0.25
2	1.5	5.72263883416	0.25
3	1.75	2.82807845726	0.25
4	2	-3.09861301473	0.25
5	2.25	-6.31266793354	0.25
6	2.5	2.29016174125	0.25
7	2.75	17.7629822749	0.25
8	3	11.1361047369	0.25
9	3.25	-20.4788470545	0.25
10	3.5	-7.30561329327	0.25
11	3.75	45.4620000988	0.25
12	4	-12.6014113454	0.25
13	4.25	-46.4818355985	0.25
14	4.5	91.9380729255	0.25
15	4.75	-59.2315925177	0.25
16	5	-16.3234304288	0.25
17	5.25	127.845926018	0.25
18	5.5	-221.503647635	0.25
19	5.75	316.735321407	0.25
20	6	-396.627057065	0.25
21	6.25	510.43308755	0.25
22	6.5	-652.927973791	0.25
23	6.75	857.613749775	0.25
24	7	-1042.29066011	0.25
25	7.25	1056.48290541	0.25
26	7.5	-528.321902517	0.25
27	7.75	-840.642059128	0.25
28	8	2746.30799327	0.25
